ruta,vattendist,namn,strandtyp,kusttyp,urvalsklass,provyta,pyid,exponering,transektlen,transektriktning,easting,northing,longitud,latitud
6104,SE4,Gotskasandöns n kustvatten,sand,öar,06_dyner,3,20256104003,,18.6,211,748886.7421,6479803.2898,19.2585489339268,58.3881079929905
6105,SE4,Gotskasandöns v kustvatten,sand,öar,06_dyner,6,20256105006,,121.3,105,743886.2735,6480542.2705,19.1740361762269,58.3975393562712
6106,SE4,Gotskasandöns v kustvatten,sand,öar,06_dyner,6,20256106006,,23.5,179,747148.4597,6480160.6161,19.2292835819437,58.3922924623681
6106,SE4,Gotskasandöns v kustvatten,block/grus,öar,06_dyner,9,20256106009,,8.9,165,747951.0007,6480178.5403,19.2429930068193,58.3919995556304
6240,SE2,Hemsösundet sek namn,block/grus,öar,02_block/grus,3,20256240003,,1.8,266,652639.2598,6958954.9283,17.9866163927081,62.7291969080037
6240,SE2,Hemsösundet sek namn,klippa/häll,öar,01_klippstränder,4,20256240004,,5.9,98,652567.6162,6958965.9836,17.9852268593761,62.7293257751322
6241,SE2,Hemsösundet sek namn,block/grus,fastland,02_block/grus,4,20256241004,,1.5,39,654381.9557,6959255.7674,18.0209342917058,62.7311648578525
6241,SE2,Hemsösundet sek namn,sand,fastland,03_sand,11,20256241011,,4.6,96,654726.2229,6959480.1667,18.0278657860708,62.7330312606878
6241,SE2,Hemsösundet sek namn,strandäng/våtmark,fastland,10_vasstrand,13,20256241013,,4.7,51,654752.5061,6959563.0694,18.0284554364352,62.7337632475979
6246,SE2,Hemsösundet sek namn,block/grus,fastland,02_block/grus,9,20256246009,,3.5,234,649744.6202,6964889.6702,17.9353533572093,62.7835868301843
6250,SE2,N Höga kustens kustvatten,block/grus,fastland,02_block/grus,18,20256250018,,4.2,16,660234.8306,6965765.5761,18.1414663344008,62.7869992506736
6250,SE2,N Höga kustens kustvatten,klippa/häll,fastland,01_klippstränder,20,20256250020,,13,280,660964.6134,6965862.1234,18.1558408072166,62.7875445489278
6252,SE2,Ramöfjärden sek namn,block/grus,fastland,02_block/grus,1,20256252001,,2.9,200,648227.4091,6967002.9451,17.9075266237438,62.80314724309
6253,SE2,Grönsviksfjärden,klippa/häll,fastland,01_klippstränder,3,20256253003,,2.7,135,662281.9359,6967620.8164,18.1833230226693,62.802724198204
6253,SE2,Grönsviksfjärden,block/grus,fastland,02_block/grus,5,20256253005,,6.5,89,662306.2757,6967850.5271,18.1840221339746,62.8047720005781
6253,SE2,Grönsviksfjärden,sand,fastland,03_sand,6,20256253006,,4.3,104,662320.1868,6967961.6791,18.1844022348843,62.8057619396721
6254,SE2,Ramöfjärden sek namn,konstruerad,fastland,05_konstruerad,14,20256254014,,3.1,177,649465.6565,6968480.2679,17.933096015894,62.8158861233489
6254,SE2,Ramöfjärden sek namn,strandäng/våtmark,fastland,10_vasstrand,18,20256254018,,3.3,91,649410.2485,6968630.7366,17.9321447233681,62.817257522204
6254,SE2,Ramöfjärden sek namn,block/grus,fastland,02_block/grus,19,20256254019,,3.2,144,649440.5611,6968738.3536,17.932834771705,62.818209793647
6256,SE2,Norafjärden,strandäng/våtmark,fastland,10_vasstrand,1,20256256001,,7.2,159,654281.4349,6968161.5363,18.0271514878655,62.811030268521
6256,SE2,Norafjärden,konstruerad,fastland,05_konstruerad,6,20256256006,,NA,NA,654509.6763,6968263.7017,18.0317166062252,62.8118496717633
6256,SE2,Norafjärden,strandäng/våtmark,fastland,04_strandäng/våtmark,14,20256256014,,6.6,155,654891.8747,6968823.2512,18.039721092117,62.816703270149
6256,SE2,Norafjärden,block/grus,fastland,02_block/grus,17,20256256017,,4,67,654972.6038,6968930.6404,18.0414021609374,62.8176315974857
6258,SE2,Ramöfjärden sek namn,klippa/häll,fastland,01_klippstränder,2,20256258002,,3.2,76,649600.5752,6969110.3573,17.936302798852,62.82147893089
6258,SE2,Ramöfjärden sek namn,strandäng/våtmark,fastland,04_strandäng/våtmark,4,20256258004,,6.9,67,649571.8642,6969242.4213,17.9358582279236,62.8226744589376
6258,SE2,Ramöfjärden sek namn,block/grus,fastland,02_block/grus,5,20256258005,,2.9,41,649521.5135,6969340.6323,17.9349592569475,62.8235753840747
6262,SE2,Norafjärden,strandäng/våtmark,öar,07_landhöjningsskog,3,20256262003,,2.3,17,657770.6497,6970074.5403,18.0972988165637,62.8266877041055
6262,SE2,Norafjärden,klippa/häll,öar,01_klippstränder,6,20256262006,,9.6,79,657325.9556,6970115.9519,18.0886228613263,62.8272504420211
6262,SE2,Norafjärden,block/grus,öar,02_block/grus,25,20256262025,,2.4,182,657487.8988,6970776.5674,18.0924188729849,62.8331014544962
6262,SE2,Norafjärden,strandäng/våtmark,öar,04_strandäng/våtmark,26,20256262026,,6,242,657635.7949,6970824.7372,18.0953633170416,62.8334694307309
6264,SE2,Norafjärden,klippa/häll,öar,01_klippstränder,3,20256264003,,4,98,656939.7462,6971138.4974,18.0820138789722,62.8365809812037
6264,SE2,Norafjärden,block/grus,öar,02_block/grus,7,20256264007,,3.9,33,656973.846,6971224.3027,18.0827629831569,62.8373353691532
6264,SE2,Norafjärden,strandäng/våtmark,fastland,07_landhöjningsskog,18,20256264018,,4,267,656184.8203,6971596.1674,18.067641750322,62.841006255494
6272,SE1,Tåmfjärden,block/grus,öar,07_landhöjningsskog,4,20256272004,,25.6,262,801694.6956,7222066.1991,21.4026684356499,64.9848753216899
6272,SE1,Tåmfjärden,block/grus,öar,07_landhöjningsskog,5,20256272005,,8.1,83,801329.086,7222127.5152,21.3950991383361,64.9857533921343
6272,SE1,Åbyfjärden,block/grus,öar,14_strandäng,14,20256272014,,19.3,293,801541.9315,7222591.2253,21.4005750805607,64.9896953994694
6274,SE1,Åbyfjärden,block/grus,öar,07_landhöjningsskog,2,20256274002,,12.9,346,802600.9483,7224763.1466,21.427553905243,65.0080995229199
6303,SE1,Yttrefjärden,strandäng/våtmark,fastland,04_strandäng/våtmark,2,20256303002,,2.1,288,803088.9323,7251527.8418,21.4961128877743,65.2462764966677
6303,SE1,Yttrefjärden,sand,fastland,03_sand,9,20256303009,,7.7,189,802815.4389,7251741.3134,21.4907658353849,65.2484315953082
6303,SE1,Yttrefjärden,block/grus,fastland,02_block/grus,10,20256303010,,6.7,201,802950.9092,7251749.4714,21.4936648931697,65.2483795140632
6303,SE1,Yttrefjärden,strandäng/våtmark,fastland,14_strandäng,11,20256303011,,47.3,216,802522.2101,7251796.4756,21.4846505701692,65.2491933345975
6303,SE1,Yttrefjärden,strandäng/våtmark,fastland,10_vasstrand,13,20256303013,,5.3,244,802448.9009,7251937.7363,21.4834014527917,65.2505201419569
6306,SE1,Inrefjärden,strandäng/våtmark,fastland,04_strandäng/våtmark,3,20256306003,,2,222,797440.1885,7259229.1594,21.3926371903391,65.3201069499302
6306,SE1,Inrefjärden,block/grus,fastland,02_block/grus,12,20256306012,,9.2,75,797934.7847,7259817.2722,21.4044659435361,65.3249014687742
6307,SE1,Inrefjärden,strandäng/våtmark,fastland,10_vasstrand,1,20256307001,,7,77,798299.5703,7259037.4001,21.4105493354237,65.3176159558415
6307,SE1,Inrefjärden,strandäng/våtmark,fastland,04_strandäng/våtmark,4,20256307004,,2.1,66,798141.9054,7259384.3033,21.4079418225182,65.3208525443843
6309,SE1,Nördfjärden,strandäng/våtmark,fastland,14_strandäng,5,20256309005,,35.5,297,802376.9202,7260342.2689,21.5003730802304,65.325512059131
6309,SE1,Nördfjärden,strandäng/våtmark,fastland,07_landhöjningsskog,11,20256309011,,22.2,264,802370.4488,7260697.7673,21.5010202294695,65.3286871940001
6313,SE1,Rävahavet,strandäng/våtmark,öar,07_landhöjningsskog,9,20256313009,,51.1,90,801096.8825,7262412.8526,21.4776266063084,65.3451506306859
6313,SE1,Rävahavet,konstruerad,fastland,05_konstruerad,10,20256313010,,NA,NA,800643.4354,7262413.672,21.4679488080507,65.3455747726185
6313,SE1,Rävahavet,strandäng/våtmark,öar,10_vasstrand,23,20256313023,,8.4,237,800678.2663,7262826.6449,21.4696009168972,65.3492245255086
6313,SE1,Rävahavet,sand,öar,03_sand,25,20256313025,,4.4,225,800613.4188,7262929.1914,21.4684420272882,65.3501983307698
6490,SE4,Kåröområdet,strandäng/våtmark,fastland,10_vasstrand,2,20256490002,,2.6,234,603482.7548,6422048.4954,16.7473242208619,57.9281526703907
6490,SE4,Kåröområdet,strandäng/våtmark,fastland,15_strandängsbete,7,20256490007,,14.6,260,603389.7641,6422250.3002,16.7458428566697,57.9299860426308
6490,SE4,Kåröområdet,strandäng/våtmark,fastland,15_strandängsbete,8,20256490008,,9.5,63,603474.8343,6422276.1859,16.7472898831741,57.9301987086772
6490,SE4,Kåröområdet,strandäng/våtmark,fastland,15_strandängsbete,9,20256490009,,86.3,247,603369.0013,6422346.5222,16.7455343792188,57.9308547364149
6490,SE4,Kåröområdet,strandäng/våtmark,fastland,15_strandängsbete,11,20256490011,,20,317,603356.0591,6422437.6809,16.7453556756239,57.9316761582062
6493,SE4,Erskärområdet sek namn,strandäng/våtmark,öar,14_strandäng,2,20256493002,,25.5,352,605627.9118,6424779.0172,16.7847425094362,57.9521636949642
6500,SE4,Gisslöfjärden sek namn,strandäng/våtmark,fastland,15_strandängsbete,7,20256500007,,127.2,248,595888.7936,6428261.4146,16.6216763472629,57.9856333282364
6500,SE4,Gisslöfjärden sek namn,strandäng/våtmark,fastland,10_vasstrand,11,20256500011,,39.7,146,595960.5221,6428577.912,16.6230174071319,57.9884595245061
6500,SE4,Gisslöfjärden sek namn,strandäng/våtmark,fastland,15_strandängsbete,12,20256500012,,65.4,232,595891.1906,6428620.3631,16.6218625457404,57.9888556210729
6502,SE4,Erskärområdet sek namn,klippa/häll,öar,01_klippstränder,4,20256502004,,6.9,5,608536.4184,6429150.6554,16.8358636383195,57.9907108965832
