tabell,vernacular_name,scientific_name,taxon_id,family,phylum,registrering
arter,saltört,Suaeda maritima,220966,Amaranthaceae,Tracheophyta,
arter,sandrör,Ammophila arenaria,219926,Poaceae,Tracheophyta,
arter,sandsallat,Lactuca tatarica,220255,Asteraceae,Tracheophyta,
arter,sandskruvmossa,Syntrichia ruraliformis,2208,Mossor,Bryophyta,
arter,sandstarr,Carex arenaria,222280,Cyperaceae,Tracheophyta,
arter,sandtimotej,Phleum arenarium,1900,Poaceae,Tracheophyta,
arter,sandvide,Salix repens var. argentea,225173,Salicaceae,Tracheophyta,
arter,skaftmålla,Atriplex longipes subsp. longipes,223907,Amaranthaceae,Tracheophyta,
buskar,skogskornell,Cornus sanguinea,220986,Cornaceae,Tracheophyta,
buskar,skogstry,Lonicera xylosteum,221041,Caprifoliaceae,Tracheophyta,
arter,skörbjuggsört,Cochlearia officinalis,220474,Brassicaceae,Tracheophyta,
buskar,slån,Prunus spinosa,223086,Rosaceae,Tracheophyta,
arter,slåtterblomma,Parnassia palustris,221929,Celastraceae,Tracheophyta,
arter,slåtterfibbla,Hypochaeris maculata,220204,Asteraceae,Tracheophyta,r
arter,smal käringtand,Lotus tenuis,999,Fabaceae,Tracheophyta,
arter,smultronklöver,Trifolium fragiferum,221324,Fabaceae,Tracheophyta,
arter,smörblomma,Ranunculus acris,222887,Ranunculaceae,Tracheophyta,
arter,snårvindor,Calystegia,1005667,Celastraceae,Tracheophyta,
buskar,snöbär,Symphoricarpos albus,221047,Caprifoliaceae,Tracheophyta,
arter,sodaört,Kali turgidum,220909,Amaranthaceae,Tracheophyta,
arter,spikblad,Hydrocotyle vulgaris,219568,Apiaceae,Tracheophyta,
buskar,spireor,Spiraea,1006587,Rosaceae,Tracheophyta,
arter,spjutmålla,Atriplex prostrata,220668,Amaranthaceae,Tracheophyta,
arter,spjutskråp,Petasites spurius,220266,Asteraceae,Tracheophyta,
arter,stenbär,Rubus saxatilis,223185,Rosaceae,Tracheophyta,
arter,stensöta,Polypodium vulgare,220863,Polypodiaceae,Tracheophyta,
arter,stillahavsostron,Magallana gigas,249392,Ostron,Animalia,
arter,storsileshår,Drosera anglica,220120,Droseraceae,Tracheophyta,
arter,strandaster,Tripolium pannonicum subsp. tripolium,220395,Asteraceae,Tracheophyta,r
arter,strandbeta,Beta vulgaris subsp. maritima,143,Amaranthaceae,Tracheophyta,
arter,strandglim,Silene uniflora,220941,Caryophyllaceae,Tracheophyta,t
arter,strandgråbo,Artemisia vulgaris var. coarctata,223646,Asteraceae,Tracheophyta,
arter,strandkrypa,Lysimachia maritima,222844,Primulaceae,Tracheophyta,
arter,strandkvanne,Angelica archangelica subsp. littoralis,223543,Apiaceae,Tracheophyta,r
arter,strandkvickrot,Elytrigia juncea subsp. boreoatlantica,224730,Poaceae,Tracheophyta,
arter,strandkål,Crambe maritima,220482,Brassicaceae,Tracheophyta,r
arter,strandkämpar,Plantago coronopus,221771,Plantaginaceae,Tracheophyta,
arter,strandloka,Ligusticum scothicum,220239,Apiaceae,Tracheophyta,r
